Questions,Answers,Links/Screenshots/Notes,Approved,FAQ Utterances,Keyword Utterances,Category
How can I view usage of my data add-on?,"You can track your data add-on usage using the following methods:

1. Lyca Mobile app
* Open the Lyca Mobile app on your device.
* Log in with your credentials.
* Go to the “Account""  “Home” section to view your data consumption, including usage from your add-on.

2. My Lyca online account
* Visit the Lyca Mobile website and log in to your Lyca account.
* Navigate to the “Home” or Account"" section to see a breakdown of your data usage, including add-on consumption.

3. Customer support
If you're unable to check your data usage through the above methods, contact Lyca Mobile customer support for assistance.
Regularly monitoring your data add-on usage helps you manage your data efficiently and determine whether you need an additional add-on or a plan adjustment.",,Yes,"['How can I check my data add-on usage on Lyca Mobile?', 'Is there a way to monitor data add-on consumption on Lyca Mobile?', ""How do I view how much of my data add-on I've used?"", 'Can I track my data add-on usage on my Lyca Mobile account?', 'Where can I check the remaining data on my Lyca Mobile add-on?']","['Data add-on usage', 'Lyca Mobile tracking', 'Data consumption', 'Add-on monitor']",Usage
"What does ""International Credit add-on"" mean?","The International Credit add-on allows you to add extra funds to your prepaid mobile account specifically for international usage. If your plan does not include international minutes or you've run out of your allotted international call minutes, this add-on ensures you can continue making international calls, sending texts, or using data without interruption.

How to add International Credit
You can add International Credit to your account using the following methods:

From your account – Log in to your Lyca Mobile account on the website or app and add credit directly.
Visit a retailer – Go to an authorized retail store to purchase and add credit to your account.
Call customer service – Contact our support team, and they can assist you in adding International Credit.
Once added, the credit will be available in your balance, allowing you to continue your international communications seamlessly.",,Yes,"['What is the International Credit add-on on Lyca Mobile?', 'How does the International Credit add-on work on Lyca Mobile?', 'What can I use the International Credit add-on for on Lyca Mobile?', 'How do I purchase an International Credit add-on on Lyca Mobile?', 'Is the International Credit add-on available for all Lyca Mobile plans?']","['International Credit', 'Lyca Mobile add-on', 'International calling', 'Credit purchase', 'Add-on features']",International Credits
"
Is there a minimum top-up amount for my Lyca Mobile number?","Yes, the minimum top-up amount is $10. This means the smallest amount you can add to your Lyca Mobile account is $10, but you can choose to top up with a higher amount if needed.

This minimum top-up ensures you can maintain your balance while enjoying the flexibility of Lyca Mobile plans, giving you control over your mobile usage without the commitment of a fixed monthly plan.",,Yes,"['Is there a minimum amount required to top-up my Lyca Mobile account?', 'What is the minimum top-up amount for Lyca Mobile?', 'How much do I need to top-up my Lyca Mobile number?', 'Can I top-up my Lyca Mobile account with any amount, or is there a minimum?', 'What is the lowest amount I can add to my Lyca Mobile balance?']","['Minimum top-up', 'Lyca Mobile recharge', 'Account balance']",International Credits
How can I check my balance after topping up?,"Verifying your balance after a top-up is a straightforward process, and we offer you several convenient options:

Online or App: You can easily check your balance by accessing your My Lyca account on our website or using the Lyca Mobile app. Once you've logged in, your current balance and other vital account information will be readily available.


These methods are designed with your convenience in mind, ensuring that you can effortlessly monitor your balance and stay updated on your account's status. Whether you prefer online access, using the app, or utilizing the USSD code, we've made it easy for you",,Yes,"['How can I check my Lyca Mobile balance after a top-up?', 'What is the method to view my balance after topping up on Lyca Mobile?', 'Can I check my remaining balance immediately after a top-up on Lyca Mobile?', 'How do I confirm my balance after a top-up on Lyca Mobile?', 'Where can I see my balance after recharging my Lyca Mobile account?']",['Top-up confirmation'],International Credits
Can I transfer my top-up balance to another customer?,"Currently, Lyca Mobile does not offer a direct balance transfer service to another customer. The top-up balance in your account is intended for your personal use.

However, if you’d like to help someone else top up their Lyca Mobile account, there are several convenient options available:

Online via Lyca Mobile – Visit the official website and use the ""Quick Top Up"" option to add credit to your own or a friend’s Lyca Mobile number.


Lyca Mobile app – renew for others – In the Lyca Mobile app, under the ""Quick Links"" section, you can select the option to renew credit for someone else. Just enter their Lyca Mobile number, choose the top-up amount, and complete the payment. Once successful, their balance will be updated instantly.

These flexible options allow you to assist others in topping up their Lyca Mobile accounts, ensuring they stay connected when they need it most.",,Yes,"['Can I transfer my Lyca Mobile top-up balance to another customer?', 'Is it possible to send my top-up balance to someone else on Lyca Mobile?', 'How do I transfer my top-up balance to another Lyca Mobile user?', 'Can I share my top-up balance with another Lyca Mobile account?', 'What is the process for transferring my top-up balance on Lyca Mobile?']","['Top-up transfer', 'Balance sharing']",International Credits
Can I schedule automatic top up of International Credits for my Lyca Mobile account?,"Yes, you can! Lyca Mobile offers an auto top-up feature to keep your account funded without the need for manual recharges.

How auto top-up works
With auto top-up, your account will be automatically recharged based on your set preferences. This ensures you never run out of credit, keeping your services active without interruption.

How to set up auto top-up
Log in to your my lyca account – access your account via the Lyca Mobile website or mobile app.
Enable auto top-up – navigate to the auto top-up settings and customize the amount and frequency based on your needs.
This feature ensures seamless connectivity and eliminates the worry of running low on credit. If you ever need to adjust or disable auto top-up, you can do so easily from your account settings.

Enjoy uninterrupted service and effortless account management with Lyca Mobile’s auto top-up!",,Yes,"['Can I set up automatic top-ups for International Credits on my Lyca Mobile account?', 'Is there an option to schedule automatic International Credit top-ups on Lyca Mobile?', 'How can I automate International Credit top-ups for my Lyca Mobile account?', 'Can I schedule recurring International Credit top-ups for Lyca Mobile?', 'What is the process for enabling automatic International Credit top-ups on Lyca Mobile?']","['Automatic top-up', 'International Credits']",International Credits
What do I do if I face issues while topping up International Credits online?,"We understand that technical issues can sometimes occur while topping up online. No need to worry—we’re here to help. Follow these steps to resolve the issue:

1. Double-check your information
Ensure all details are correct, including:

Your Lyca Mobile number
Your payment details
The top-up amount
2. Try again
If your first attempt fails, try again. The issue may be temporary, and a second attempt could be successful.

3. Contact customer support
If the issue persists, reach out to our customer support team for assistance:

Use chat support – Connect with our virtual assistant for quick support.
Call customer support – Speak with a representative for further assistance.
We are committed to making your top-up experience as smooth as possible. If you run into any issues, we’re here to help so you can continue enjoying uninterrupted Lyca Mobile service.",,Yes,[''],[''],International Credits
How can I view my International Credits top-up history and transactions?,"Keeping track of your International Credits top-up history and transactions helps you manage your Lyca Mobile account effectively. Here’s how you can access this information:
1. Check online via the website
Log in to your My Lyca account.
Navigate to the transaction or usage history section to view your top-up records.
2. Use the Lyca Mobile app
Download the Lyca Mobile app for iOS or Android.
Sign in to your account and access the transaction or usage history section for a detailed view of your transactions.
3. Contact customer support
If you have trouble accessing your transaction history, you can connect with the customer service for help.
Having access to your top-up history ensures you stay informed about your account activity, helping you manage your spending with confidence and ease.",,Yes,"['How can I check my International Credits top-up history on Lyca Mobile?', 'Where can I view my transaction history for International Credits on Lyca Mobile?', 'Can I see a record of my International Credit top-ups on Lyca Mobile?', 'How do I access the details of my International Credit transactions on Lyca Mobile?', 'Is there a way to review past International Credit top-ups on Lyca Mobile?']","['Top-up history', 'International Credit transactions', 'Credit records']",International Credits
What is eSIM?,"An eSIM, also known as an embedded SIM, is a digital SIM card that is integrated into a phone such as a smartphone. Unlike SIM cards that require insertion and removal, an eSIM is already built into the phone, allowing you to activate a cellular plan without needing a SIM card. By using an eSIM, you can access the Lyca Mobile network quickly and easily without waiting for a standard SIM card to be delivered. You can check if your phone is compatible with eSIM by referring to this helpful article.",Link to Phone Compatibility check FAQ,Yes,"['What is an eSIM on Lyca Mobile?', 'How does eSIM work on Lyca Mobile?', 'What are the benefits of using an eSIM with Lyca Mobile?', 'Can I switch to an eSIM for my Lyca Mobile service?', 'Is eSIM available on Lyca Mobile plans?']","['eSIM benefits', 'SIM technology', '']",eSim
How long does it take to activate an eSIM?,"After purchasing an eSIM, the activation process usually completes within a few minutes. Make sure to stay connected to Wi-Fi to receive your unique QR code via email. Once you get the code, scan it and set up your profile. That's all it takes to get your eSIM up and running.

However, if you're transferring your number from another carrier to Lyca Mobile, the process may take a few minutes to a couple of hours to complete.",,Yes,"['How long does it take for an eSIM to activate on Lyca Mobile?', 'What is the activation time for eSIM on Lyca Mobile?', 'How much time does it take to activate my Lyca Mobile eSIM?', 'Is there a waiting period for activating an eSIM with Lyca Mobile?', 'How quickly can I use my Lyca Mobile eSIM after activation?']","['eSIM activation', 'Lyca Mobile eSIM', 'Activation time']",eSim
What is the difference between an eSIM and a SIM card?,"An eSIM, which stands for embedded SIM, is a type of digital SIM that is directly integrated into a phone like a smartphone. It is different from a SIM card, which is a removable chip that you insert into your phone to connect to a cellular network.

The most significant difference between the two is that eSIMs don't require a physical card to operate. Instead, you can activate a cellular plan without the need to swap out a SIM card. This eliminates the need to deal with tiny physical cards when changing carriers or plans. Additionally, eSIMs offer greater flexibility, as they allow you to switch carriers and plans remotely.",,Yes,"['What is the difference between an eSIM and a physical SIM card on Lyca Mobile?', 'How does an eSIM differ from a traditional SIM card?', 'What are the key differences between an eSIM and a regular SIM card?', 'Can I use both an eSIM and a physical SIM card on Lyca Mobile?', 'How do eSIM and SIM cards compare for Lyca Mobile service?']","['eSIM vs SIM', 'Lyca Mobile SIM', 'SIM card comparison']",eSim
What happens to my bill cycle after I get a Lyca Mobile eSIM?,"When you activate your number with an eSIM while joining Lyca Mobile, your bill cycle will begin on the same day. It doesn't matter whether the number is new or transferred from another provider. If you decide to replace your SIM card with an eSIM, your bill cycle will remain the same.",,Yes,"['Does my billing cycle change after switching to a Lyca Mobile eSIM?', 'How does my bill cycle work when I activate a Lyca Mobile eSIM?', 'Will my billing cycle stay the same after getting a Lyca Mobile eSIM?', 'Does switching to an eSIM affect my Lyca Mobile billing cycle?', 'Is there any impact on my Lyca Mobile bill cycle with eSIM activation?']",['Billing cycle'],eSim
Can I switch back to a SIM card from an eSIM?,"Certainly! You have the option to switch between an eSIM and a SIM card, both before and after porting your number. If you wish to change your SIM preference before porting, please make the switch before making the payment through the Lyca Mobile website or app.

For changes after activation, you can contact our Lyca Mobile customer service at 1-866-277-3221 to request the switch. Please note that a small fee may be applicable in some cases for changing your SIM preference, and there will be a shipment cost if you select a new SIM card.",,Yes,"['Can I switch from a Lyca Mobile eSIM back to a physical SIM card?', 'How do I revert to a SIM card from an eSIM on Lyca Mobile?', 'Is it possible to change my Lyca Mobile eSIM to a regular SIM card?', 'What’s the process to switch back to a SIM card after using an eSIM on Lyca Mobile?', 'Can I replace my eSIM with a physical SIM card on Lyca Mobile?']","['eSIM to SIM', 'Lyca Mobile switch', 'SIM card replacement', 'eSIM revert']",eSim
Is there an extra fee for using eSIM?,Using a Lyca Mobile eSIM doesn't incur any extra charges.,,Yes,"['Is there an additional fee for using an eSIM on Lyca Mobile?', 'Does Lyca Mobile charge extra for eSIM activation?', 'Are there any extra costs associated with using an eSIM on Lyca Mobile?', 'Do I pay more for using eSIM compared to a physical SIM on Lyca Mobile?', 'Is there a fee to switch to an eSIM on Lyca Mobile?']","['eSIM fee', 'Lyca Mobile charges', 'Activation costs']",eSim
What are the benefits of eSIM?,"eSIMs offer several advantages over traditional SIM cards:

- Convenience: No need to swap SIM cards. You can activate or switch cellular plans directly from your phone.
- Flexibility: Easily switch between carriers or plans without requiring a new SIM card.
- Space-saving: eSIMs eliminate the need for a SIM card slot, freeing up space in your phone for additional features.
- Remote activation: You can activate plans remotely, which is helpful when traveling or when a SIM card isn't available.
- Environmentally friendly: eSIMs reduce the need for plastic SIM cards, promoting sustainability.",,Yes,"['What are the advantages of using an eSIM on Lyca Mobile?', 'How does an eSIM benefit my Lyca Mobile service?', 'What makes eSIM better than a physical SIM card on Lyca Mobile?', 'Can eSIM offer more flexibility for my Lyca Mobile plan?', 'What are the key benefits of switching to an eSIM with Lyca Mobile?']","['eSIM benefits', 'Lyca Mobile advantages', 'SIM flexibility']",eSim
What if I do not receive the QR code?,"If you can't find the QR code in your inbox, start by checking your spam folder. Double-check the registered email address. If it's correct and you still can't find the email, contact our Lyca Mobile customer service at 1-866-277-3221 to request a resend of the QR code.",,Yes,"['What should I do if I don’t receive the eSIM QR code from Lyca Mobile?', 'How can I get the QR code if it’s missing for my Lyca Mobile eSIM?', 'What steps can I take if my Lyca Mobile eSIM QR code isn’t delivered?', 'How can I request a new QR code for my Lyca Mobile eSIM activation?', 'What happens if the QR code for my Lyca Mobile eSIM doesn’t arrive?']","['Missing QR code', 'QR code issue']",eSim
Is my current phone eligible for eSIM?,"To determine if your phone supports eSIM, you'll need to locate your EID number. Here are the steps to find your EID number on Android and iOS phones:

For Android:
1. Go to Settings
2. Tap on About Phone
3. Tap on Status Information
4. If you see an EID number listed, your phone is eSIM-compatible.

For iOS:
1. Go to Settings
2. Tap on General
3. Tap on About
4. If you see an EID number listed, your phone is eSIM-compatible.",,Yes,"['How can I check if my phone is eligible for Lyca Mobile eSIM?', 'Is my phone compatible with eSIM on Lyca Mobile?', 'Can I use eSIM on my current phone with Lyca Mobile?', 'How do I know if my phone supports eSIM for Lyca Mobile?', 'What criteria determine if my phone can use Lyca Mobile eSIM?']","['eSIM compatibility', 'Phone eligibility']",eSim
Is eSIM more secure than SIM cards?,"The eSIM technology is highly secure because it is embedded within the phone, making it impossible for malicious parties to remove or replace it to carry out scams like port-out scams. However, it is essential to remain vigilant and follow the recommended practices to safeguard your phone and personal data.",,Yes,"['Is eSIM considered more secure than a physical SIM card?', 'How does the security of eSIM compare to traditional SIM cards?', 'What are the security advantages of using eSIM over a SIM card?', 'Is eSIM safer than a regular SIM card for Lyca Mobile?', 'What security features make eSIM more secure than a physical SIM?']","['eSIM security', 'SIM card comparison', 'Mobile security', 'eSIM protection']",eSim
"I am buying a new phone, do I need a new eSIM?","If you have an active eSIM on your current phone and you want to switch to a new phone, you'll need to set up a new eSIM for the new phone. Once you've installed the eSIM, it becomes associated with the specific phone, and each phone requires its own unique eSIM configuration. To get a new eSIM, you'll need to contact the Lyca Mobile customer service at 1-866-277-3221 and request one.",,Yes,"['Do I need to get a new eSIM if I buy a new phone?', 'Can I transfer my existing eSIM to a new phone?', 'Is a new eSIM required when switching to a new phone with Lyca Mobile?', 'What should I do if I’m buying a new phone and want to use eSIM?', 'Do I need to activate a new eSIM for my new phone on Lyca Mobile?']",['Esim in new mobile'],eSim
"I received a ""Your phone is locked' error during eSIM activation. What should I do?","If you receive an error message saying ""Your phone is locked"" while trying to activate eSIM, it means that your phone is still locked with your previous carrier. To unlock your phone, you need to get in touch with your carrier's customer support. You can find more information about locked phones and how to unlock them here. For any further queries, feel free to contact our Lyca Mobile customer service at 1-866-277-3221.",Link to unlocking phone FAQ in Getting started tab row 33,Yes,"['What should I do if I get a ""Your phone is locked"" error during eSIM activation on Lyca Mobile?', 'How can I fix the ""Your phone is locked"" issue during eSIM setup?', 'Why does my phone show a ""locked"" error when activating eSIM on Lyca Mobile?', 'What steps can I take if I encounter a ""locked phone"" error during eSIM activation?', 'How do I resolve the ""locked phone"" issue when trying to activate my eSIM on Lyca Mobile?']","['Phone locked', 'eSIM activation', 'Lyca Mobile error']",eSim
How can I set up my eSIM using the QR code on my iOS phone?,"Here are the steps to set up your eSIM on your iOS phone for Lyca Mobile:

1. Go to your home screen and tap on ""Settings.""

2. Scroll down and select ""Cellular.""

3. Choose ""Add eSIM.""

4. Scan the activation QR code provided to you via email.

5. Your eSIM profile will download within 5 minutes.

That's all! Your eSIM is now configured and ready to use with Lyca Mobile.",Screenshot,Yes,"['How can I set up my Lyca Mobile eSIM using the QR code on an iPhone?', 'What are the steps to activate eSIM with a QR code on an iOS device?', 'How do I scan the eSIM QR code on my iOS phone for Lyca Mobile?', 'Can I set up my Lyca Mobile eSIM by scanning the QR code on my iPhone?', 'What is the process to activate eSIM on iOS using the QR code for Lyca Mobile?']","['QR code activation', 'iOS eSIM', 'Lyca Mobile iPhone', 'eSIM scan']",eSim
How can I set up my eSIM using the QR code on my Android phone?,"Here are the steps to set up your eSIM on your Android phone with Lyca Mobile:

1. Navigate to the home screen and scroll to the right to select ""Settings.""
2. Scroll down and choose ""Connections.""
3. Select ""SIM card Manager.""
4. Under eSIMs, choose ""Add Mobile Plan.""
5. Select ""Scan carrier QR code.""
6. Click on ""Confirm.""
7. Your eSIM profile will download within 5 minutes.
8. That's it! Your eSIM is now configured and ready to use with Lyca Mobile.",Screenshot,Yes,"['How can I set up my Lyca Mobile eSIM using the QR code on an Android phone?', 'What are the steps to activate eSIM with a QR code on an Android device?', 'How do I scan the eSIM QR code on my Android phone for Lyca Mobile?', 'Can I set up my Lyca Mobile eSIM by scanning the QR code on my Android phone?', 'What is the process to activate eSIM on Android using the QR code for Lyca Mobile?']","['QR code activation', 'Android eSIM', 'Lyca Mobile Android']",eSim
"If I disconnect my service, how long does Lyca Mobile keep my number?","If you disconnect your Lyca Mobile service, your number will be reassigned after 30 days unless you choose to port it to a different carrier.",,Yes,"['How long will Lyca Mobile keep my number if I disconnect my service?', 'What happens to my Lyca Mobile number after I disconnect the service?', 'How long can I retain my Lyca Mobile number after disconnecting?', 'Can I keep my Lyca Mobile number after disconnection?', 'How long is my number stored with Lyca Mobile if I disconnect?']","['Number retention', 'Lyca Mobile disconnection', 'Service termination']",Existing Lyca Mobile
How do I cancel my Lyca Mobile service?,We're sorry that you would like to cancel your Lyca Mobile service. Please contact our Lyca Mobile customer service at 1-866-277-3221 for assistance.,,Yes,"['How can I cancel my Lyca Mobile service?', 'What is the process to cancel my Lyca Mobile account?', 'How do I disconnect my Lyca Mobile service?', 'Can I cancel my Lyca Mobile plan anytime?', 'What steps do I need to follow to cancel my Lyca Mobile service?']","['Cancel service', 'Lyca Mobile account', 'Account termination']",Existing Lyca Mobile
"
Will there be additional charges if I leave Lyca Mobile in the middle of the bill cycle?","No additional charges are applicable for leaving Lyca Mobile mid-bill cycle, but unused plans or data packs are non-refundable.",,Yes,"['Are there extra charges if I leave Lyca Mobile mid-bill cycle?', 'What happens if I cancel my Lyca Mobile service before the end of the bill cycle?', 'Will I be charged for early cancellation of my Lyca Mobile plan?', 'Is there a penalty if I disconnect my Lyca Mobile service during the bill cycle?', 'Do I incur additional fees if I leave Lyca Mobile before the bill cycle ends?']","['Early cancellation', 'Lyca Mobile charges', 'Bill cycle', 'Service termination', 'Penalties']",Existing Lyca Mobile
What is my Lyca Mobile account number/PIN?,"To access your porting details, please reach out to our Lyca Mobile customer service at 1-866-277-3221 for assistance.",,Yes,"['How can I find my Lyca Mobile account number?', 'Where can I locate my Lyca Mobile account PIN?', 'What is my Lyca Mobile account number for login purposes?', 'How do I retrieve my Lyca Mobile PIN for account access?', 'Can I find my Lyca Mobile account details (number/PIN) online?']","['', 'Lyca Mobile Account number and PIN']",Existing Lyca Mobile
Why is my port out request rejected? ,"If you have overdue payments, your port out request may be rejected. For more information, please contact our Lyca Mobile customer service at 1-866-277-3221.",,Yes,"['Why was my port out request rejected by Lyca Mobile?', 'What could cause a port out request to be denied by Lyca Mobile?', 'How can I resolve a rejected port out request with Lyca Mobile?', 'What are the reasons for a failed port out request from Lyca Mobile?', 'What should I do if my Lyca Mobile port out request is rejected?']","['Port out request rejection', 'Failed port out']",Existing Lyca Mobile
How do I port out from Lyca Mobile?,"We're sorry to see you leave. If there's a concern that's prompting you to leave Lyca Mobile, please contact our customer support at 1-866-277-3221. 

If you're ready to port your number, please follow these steps: 

Before starting the port-out process, confirm that your Lyca Mobile account is not locked. 

Call customer support at 1-866-277-3221 to port out your number.  

During the process, a 6-digit transfer PIN along with other port-out details such as phone number, ZIP code and Account Reference Number will be sent to your registered email address. 

Use the port-out details and transfer PIN to transfer your number to your new carrier. The transfer PIN is valid for only 24 hours from the time it is generated. If you do not use this PIN within the given timeframe, you will need to request a new one. 

Once all necessary steps are completed, you will receive an email confirming the successful port out from Lyca Mobile. Ensure your account remains unlocked until you receive this confirmation email .",,Yes,"['What is the process to port out from Lyca Mobile?', 'How can I transfer my number away from Lyca Mobile?', 'What steps should I follow to port my number out of Lyca Mobile?', 'How do I initiate a port out request from Lyca Mobile?', 'Can I port out my Lyca Mobile number to another carrier?']","['Port out process', 'Lyca Mobile number transfer', 'Porting number']",Existing Lyca Mobile
What happens if I change my mind and want to come back after deactivating my service?,"If you deactivate your Lyca Mobile services and you want to reactivate them, you can do so within 30 days of deactivation. To reactivate, you can use the same mobile number you had before. However, if it has been more than 30 days since deactivation, you will need to place a new order to reactivate your services. If you still have your previous number, you can port it back to Lyca Mobile. If you need any assistance, please contact our dedicated Mobile Customer Support team at 1-866-277-3221.",,Yes,"['What happens if I decide to return to Lyca Mobile after deactivating my service?', 'Can I reactivate my Lyca Mobile account if I change my mind after deactivation?', 'Is it possible to come back to Lyca Mobile after deactivating my service?', 'What should I do if I want to return to Lyca Mobile after cancelling my account?', 'How can I restore my Lyca Mobile service after deactivation?']","['Account reactivation', 'Lyca Mobile return', 'Service deactivation', 'Reactivation process', 'Lyca Mobile comeback']",Existing Lyca Mobile
Can I still use my old SIM card after porting out my number?,"No, after porting to a new carrier, your old Lyca Mobile SIM card will no longer be usable.",,Yes,"['Can I continue using my old SIM card after porting out my number from Lyca Mobile?', 'What happens to my old SIM card after I port out my Lyca Mobile number?', 'Is it possible to use my old SIM card once I’ve ported my number away from Lyca Mobile?', 'Can I keep using the SIM card after I request to port out from Lyca Mobile?', 'What should I do with my old SIM card after porting out from Lyca Mobile?']",['Number transfer'],Existing Lyca Mobile
"I initiated port out from Lyca Mobile but changed my mind now, what do I do?","Please confirm the completion of your porting process. If it was successful, you may need to start your Lyca Mobile journey fresh. If the port out was unsuccessful, please contact our Mobile Customer Support team at 1-866-277-3221 to pause the port out process and maintain your services.",,Yes,"['What should I do if I change my mind after initiating a port out from Lyca Mobile?', 'Can I cancel my port out request with Lyca Mobile?', 'How do I stop a port out request with Lyca Mobile after changing my mind?', 'Is it possible to reverse a port out request once it’s been initiated with Lyca Mobile?', 'What steps can I take if I want to cancel my port out process from Lyca Mobile?']","['Port out cancellation', 'Lyca Mobile reversal', 'Porting process', 'Change of mind']",Existing Lyca Mobile
"If I port my number, will my phone be locked with Lyca Mobile?",No. Lyca Mobile does not lock your phone.,,Yes,"['Will my phone be locked to Lyca Mobile after I port my number?', 'Does porting out from Lyca Mobile lock my phone?', 'Can I unlock my phone after porting out from Lyca Mobile?', 'Is my phone locked if I decide to port my number from Lyca Mobile?', ""What happens to my phone's lock status after I port my number from Lyca Mobile?""]","['Phone lock', 'Lyca Mobile port', 'Porting process', 'Number transfer', 'Phone unlocking']",Existing Lyca Mobile
Why has my Lyca Mobile stopped working after not using it for some time?,"If a Lyca Mobile SIM card remains unused for more than 60 days—meaning no calls, texts, or data usage—it will be automatically deactivated. Once deactivated, the SIM cannot be reactivated, and the associated mobile number will be permanently retired.

If this happens, please contact our customer service team at 1866-277-3221 for assistance. Our advisors are available to guide you on the next steps. You can also connect with customer support for further help.",,Yes,"['Why did my Lyca Mobile stop working after not using it for a while?', 'What causes my Lyca Mobile service to stop working if I haven’t used it in some time?', 'How can I reactivate my Lyca Mobile after it stopped working due to inactivity?', 'Why is my Lyca Mobile number inactive after not using it for a while?', 'What should I do if my Lyca Mobile stops working after extended inactivity?']","['Lyca Mobile inactivity', 'Service stopped', 'Account reactivation', 'Number inactivity', 'Mobile service issues']",Existing Lyca Mobile
Why am I having trouble sending text messages?,"If you're experiencing difficulties sending SMS, it may be due to network issues. First, make sure your phone has a signal. If you're still unable to send SMS even with a signal, reach out to our Lyca Mobile customer service at 1-866-277-3221. We'll assist in checking your service and troubleshooting any network-related issues affecting your SMS functionality.",,Yes,"['Why can’t I send text messages on my Lyca Mobile?', 'What should I do if I’m unable to send SMS on Lyca Mobile?', 'Why am I facing issues sending texts with my Lyca Mobile?', 'How can I fix the problem of not being able to send messages on Lyca Mobile?', 'What could cause text messages to fail on my Lyca Mobile service?']","['Text message issue', 'Lyca Mobile SMS', 'Sending texts', 'Message failure', 'Mobile troubleshooting']",Technical Support
"If I bring my phone over to Lyca Mobile, will I lose any personal information?","Rest assured, transferring your phone to Lyca Mobile won't result in any loss of personal information. Your contacts, messages, apps, wallpaper, and other data will remain intact on your phone, whether you're switching the SIM card or getting a new eSIM. You can proceed with confidence, knowing that your email settings and contact list will remain unaffected by the transition. However, it’s always recommended that you back up your important data before making the switch, just to be on the safe side.",,Yes,"['Will I lose my personal data if I switch to Lyca Mobile with my phone?', 'Can I keep my personal information if I bring my phone to Lyca Mobile?', 'What happens to my personal data when I switch to Lyca Mobile?', 'Will my data be erased when I bring my phone to Lyca Mobile?', 'Do I need to back up my data before switching to Lyca Mobile?']","['Personal data', 'Phone switch', 'Lyca Mobile transfer']",Technical Support
Why am I having issues receiving calls?,"If you're experiencing call-related problems on Lyca Mobile, compatibility issues might be at play, particularly if you've recently inserted a SIM card and rebooted your phone. Give it a few minutes to activate and establish connections with nearby cell towers.

If your phone prompts a carrier update, be sure to complete it to ensure proper SIM card set up. Additionally, verify the coverage in your area for any potential call issues.

If problems persist, even in areas with supposed good service, don't hesitate to reach out to our Lyca Mobile customer service at 1-866-277-3221. They're available to assist and troubleshoot any issues, ensuring optimal phone functionality for calls.",,Yes,"['Why can’t I receive calls on my Lyca Mobile?', 'What could cause my Lyca Mobile service to have issues receiving calls?', 'How can I fix the problem of not being able to receive calls on Lyca Mobile?', 'Why is my Lyca Mobile not accepting incoming calls?', 'What should I do if I’m not getting calls on my Lyca Mobile?']","['Receiving calls', 'Lyca Mobile issue', 'Call reception', 'Incoming call problem']",Technical Support
Why won't my service activate?,"If you're experiencing delays in your activation process with Lyca Mobile, here are some questions to cross-check if everything is in order before reaching out to us:

1. Have you received a notification confirming the activation of your Lyca Mobile plan?
2. Have you received and inserted your physical Lyca Mobile SIM card?
3. If you purchased an eSIM, did you receive the QR code to activate the eSIM?
4. Has your phone passed the compatibility check successfully?
5. Are you in the process of porting your number to Lyca Mobile, or have you not started this yet?

If you still require assistance, please don't hesitate to contact our Lyca Mobile customer service at 1-866-277-3221. They're available to help resolve any activation issues you may encounter.",,Yes,"['Why is my Lyca Mobile service not activating?', 'What could be causing my Lyca Mobile service activation to fail?', 'How can I fix the issue of my Lyca Mobile service not activating?', 'Why am I unable to activate my Lyca Mobile service?', 'What should I do if my Lyca Mobile service fails to activate?']",['Activation failure'],Technical Support
Do I have to set up my voicemail when joining Lyca Mobile?,"When you become a Lyca Mobile user, your voicemail is activated by default. You have the flexibility to personalize your voicemail greeting or establish a password if desired. Conversely, you can deactivate it whenever you choose. Learn how to set up your voicemail greetings by following these steps.",Link to Voicemail password setup FAQ,Yes,"['Do I need to set up voicemail when I join Lyca Mobile?', 'Is voicemail setup required when I start using Lyca Mobile?', 'How do I set up voicemail with my new Lyca Mobile service?', 'Do I have to activate voicemail when switching to Lyca Mobile?', 'What steps do I need to take to set up voicemail on Lyca Mobile?']","['Voicemail activation', 'New account setup']",Technical Support
What if my signal is bad? ,"Inconsistent coverage may arise from being in a densely populated local or an area where the network coverage is less than optimal.  

For better signal quality, consider restarting your phone, try connecting to the local Wi-Fi or ensuring you've installed the latest software updates.

Please contact our Lyca Mobile customer service at 1-866-277-3221 if the above steps do not resolve your issue.",,Yes,"['What should I do if I’m experiencing bad signal on my Lyca Mobile?', 'How can I improve my Lyca Mobile signal if it’s weak?', 'What causes a weak signal on my Lyca Mobile, and how can I fix it?', 'How do I troubleshoot bad signal issues with my Lyca Mobile service?', 'Why is my Lyca Mobile signal bad, and how can I get better reception?']","['Signal issue', 'Lyca Mobile reception', 'Weak signal', 'Mobile troubleshooting', 'Network problems']",Technical Support
